Sector,Domain,Note
uss,battleshipnc.com,"USS North Carolina Battleship, North Carolina Department of Cultural Resources -- Note added 3/20/14 17:19"
village,baxterestates.org,"Village of Baxter Estates, Port Washington, NY -- Note added 6/8/15 12:11"
board,bmbt.org,North Carolina Board of Massage & Bodywork Therapy -- Note added 9/11/15 18:20
nc,bugfest.org,NC museum of natural sciences  -- Note added 9/11/15 18:50
state,buyctbonds.com,State of Connecticut Bonds -- Note added 6/27/13 19:52
humanities,calhum.org,"California Humanities is an independent non-profit partner of the National Endowment for the Humanities,  nthat promotes the humanities in California in order to help create &ldquo;a state of open mind.' -- Note added 3/10/15 15:07"
californiavolunteers,californiavolunteers.org,"CaliforniaVolunteers, the state office that manages programs and initiatives aimed at increasing the number of Californians engaged in service and volunteering -- Note added 11/22/13 14:11"
ca,calsilc.org,CA State Independent Living Counsel advocates for persons with disabilities to enable them to live independently. n  -- Note added 3/5/15 22:35
state,calstrs.com,California State Teachers Retirement System -- Note added 3/9/15 15:17
state,capitol.org,Nebraska State Capitol -- Note added 12/6/13 19:48
caswell,caswellcenter.org,"Caswell Developmental Center, NC Division of State Operated Healthcare Facilities -- Note added 6/6/13 18:08"
environmental,cehtp.org,"California Environmental Health Tracking Program, California Department of Public Health -- Note added 10/24/14 12:09"
univ,ces.ca.uky.edu/ces,Univ of Kentucky Extension website -- Note added 8/27/15 16:14
pacific,cfc-hawaii.org,"Hawaii-Pacific Area Combined Federal Campaign - geographic area includes the State of Hawaii, Guam, Northern Marianas Islands, and American Samoa -- Note added 6/12/13 13:14"
tristate,cfclouisville.org,"Tristate CFC, Indiana -- Note added 8/27/15 14:19"
college,cfnc.org,"College Foundation of North Carolina, a service of the State of North Carolina -- Note added 7/24/13 16:09"
chesapeake,chesapeakebay.net,"Chesapeake Bay Program, Restoration of the Chesapeake Bay http://www.chesapeakebay.net -- Note added 11/20/13 16:26"
childrens,chipcoverspakids.com,Pennsylvania's Children's Health Insurance Program (CHIP) -- Note added 6/6/13 18:08
department,choosemaryland.org,Maryland Department of Business and Economic Development -- Note added 1/10/14 19:17
historical,chs.org,Connecticut Historical SocietyMuseum and Library -- Note added 12/15/14 6:22
statesville,ci.statesville.nc.us,"statesville, nc -- Note added 9/11/15 19:22"
clemson,clemson.edu/extension,"Clemson Univ, Sc -- Note added 8/28/15 13:40"
commission,clest.org,Arkansas Commission on Law Enforcement Standards and Training -- Note added 7/17/13 18:34
coliseum,coliseumboulevardplume.com,"Coliseum Boulevard Plume (CBP), an area in Montgomery, Alabama, where the groundwater 10-50 feet below land surface contains trichloroethylene (TCE).  Investigation, management, and cleanup of the groundwater is being conducted by the https://www.dot.state.al.us/ Alabama Department of Transportation (ALDOT). -- Note added 9/24/14 16:14"
travel,colorado.com,Travel and Tourism Site for Colorado -- Note added 6/6/13 19:23
lottery,coloradolottery.com,Colorado lottery -- Note added 6/12/13 14:06
call,coloradonocall.com,"Colorado No Call program. A private company, Data Protection Group, operates this site under contract with the Colorado Public Utilities Commission. -- Note added 7/11/14 5:54"
