Sector,States,Domain,Note
american samoa,[],asgteo.com,American Samoa Territorial Energy Office -- Note added 6/7/13 14:55
state public,['new york'],askpsc.com,New York State Public Service Commission’s Consumer Web Site -- Note added 1/10/14 19:17
state assembly,['california'],asmdc.org,"California State Assembly Democratic Caucus, State of California -- Note added 6/6/13 18:08"
assistive technology,[],atlfa.org,Assistive Technology Loan Fund Authority. The authority offers low interest loans for a variety of special equipment to eligible applicants. See the establishing law at http://law.lis.virginia.gov/authorities/assistive-technology-loan-fund-authority-atlfa  -- Note added 7/23/14 15:46
board behavioral,['arizona'],azbbhe.us,Arizona Board of Behavioral Health Examiners -- Note added 12/11/13 13:50
commerce authority,['arizona'],azcommerce.com,Arizona Commerce Authority -- Note added 12/11/13 13:50
state board,['arizona'],azdentalboard.us,Arizona State Board of Dental Examiners -- Note added 12/11/13 13:50
state parks,['arizona'],azstateparks.com,Arizona State Parks -- Note added 12/11/13 13:51
"battleship ,",['north carolina'],battleshipnc.com,"USS North Carolina Battleship, North Carolina Department of Cultural Resources -- Note added 3/20/14 17:19"
village baxter,['washington'],baxterestates.org,"Village of Baxter Estates, Port Washington, NY -- Note added 6/8/15 12:11"
board massage,['north carolina'],bmbt.org,North Carolina Board of Massage & Bodywork Therapy -- Note added 9/11/15 18:20
nc museum,[],bugfest.org,NC museum of natural sciences  -- Note added 9/11/15 18:50
Unknown,['connecticut'],buyctbonds.com,State of Connecticut Bonds -- Note added 6/27/13 19:52
humanities independent,['california'],calhum.org,"California Humanities is an independent non-profit partner of the National Endowment for the Humanities,  nthat promotes the humanities in California in order to help create &ldquo;a state of open mind.' -- Note added 3/10/15 15:07"
"californiavolunteers ,",[],californiavolunteers.org,"CaliforniaVolunteers, the state office that manages programs and initiatives aimed at increasing the number of Californians engaged in service and volunteering -- Note added 11/22/13 14:11"
ca state,[],calsilc.org,CA State Independent Living Counsel advocates for persons with disabilities to enable them to live independently. n  -- Note added 3/5/15 22:35
state teachers,['california'],calstrs.com,California State Teachers Retirement System -- Note added 3/9/15 15:17
state capitol,['nebraska'],capitol.org,Nebraska State Capitol -- Note added 12/6/13 19:48
caswell developmental,[],caswellcenter.org,"Caswell Developmental Center, NC Division of State Operated Healthcare Facilities -- Note added 6/6/13 18:08"
environmental health,['california'],cehtp.org,"California Environmental Health Tracking Program, California Department of Public Health -- Note added 10/24/14 12:09"
univ extension,['kentucky'],ces.ca.uky.edu/ces,Univ of Kentucky Extension website -- Note added 8/27/15 16:14
hawaii-pacific area,['hawaii'],cfc-hawaii.org,"Hawaii-Pacific Area Combined Federal Campaign - geographic area includes the State of Hawaii, Guam, Northern Marianas Islands, and American Samoa -- Note added 6/12/13 13:14"
tristate cfc,['indiana'],cfclouisville.org,"Tristate CFC, Indiana -- Note added 8/27/15 14:19"
college foundation,['north carolina'],cfnc.org,"College Foundation of North Carolina, a service of the State of North Carolina -- Note added 7/24/13 16:09"
chesapeake bay,[],chesapeakebay.net,"Chesapeake Bay Program, Restoration of the Chesapeake Bay http://www.chesapeakebay.net -- Note added 11/20/13 16:26"
's children,['pennsylvania'],chipcoverspakids.com,Pennsylvania's Children's Health Insurance Program (CHIP) -- Note added 6/6/13 18:08
department business,['maryland'],choosemaryland.org,Maryland Department of Business and Economic Development -- Note added 1/10/14 19:17
historical societymuseum,['connecticut'],chs.org,Connecticut Historical SocietyMuseum and Library -- Note added 12/15/14 6:22
"statesville ,",[],ci.statesville.nc.us,"statesville, nc -- Note added 9/11/15 19:22"
clemson univ,[],clemson.edu/extension,"Clemson Univ, Sc -- Note added 8/28/15 13:40"
commission law,['arkansas'],clest.org,Arkansas Commission on Law Enforcement Standards and Training -- Note added 7/17/13 18:34
coliseum boulevard,['alabama'],coliseumboulevardplume.com,"Coliseum Boulevard Plume (CBP), an area in Montgomery, Alabama, where the groundwater 10-50 feet below land surface contains trichloroethylene (TCE).  Investigation, management, and cleanup of the groundwater is being conducted by the https://www.dot.state.al.us/ Alabama Department of Transportation (ALDOT). -- Note added 9/24/14 16:14"
travel tourism,['colorado'],colorado.com,Travel and Tourism Site for Colorado -- Note added 6/6/13 19:23
Unknown,['colorado'],coloradolottery.com,Colorado lottery -- Note added 6/12/13 14:06
call program,['colorado'],coloradonocall.com,"Colorado No Call program. A private company, Data Protection Group, operates this site under contract with the Colorado Public Utilities Commission. -- Note added 7/11/14 5:54"
river endangered,['colorado'],coloradoriverrecovery.org,"Upper Colorado River Endangered Fish Recovery Program, U.S. Fish and Wildlife Service -- Note added 7/23/14 13:45"
dot complete,['north carolina'],completestreetsnc.org,North Carolina DOT Complete Streets -- Note added 1/22/14 18:53
correction enterprises,['north carolina'],correctionenterprises.com,"Correction Enterprises, North Carolina Department of Public Safety -- Note added 7/24/13 14:00"
crawfish promotion,['louisiana'],crawfish.org,Louisiana Crawfish Promotion and Research Board (LCPRB) -- Note added 9/22/15 16:53
superior courts,['georgia'],cscj.org,Georgia Superior Courts -- Note added 8/25/15 14:44
state treasury,['connecticut'],ctbiglist.com,Connecticut State Treasury Unclaimed Property Owners List -- Note added 12/15/14 6:38
center technology,['new york'],ctg.albany.edu,"Center for Technology at the University at Albany, State University of New York -- Note added 6/29/15 15:02"
Unknown,['connecticut'],ctlottery.org,Connecticut lottery -- Note added 6/12/13 14:06
state library,['connecticut'],ctstatelibrary.org,Connecticut State Library -- Note added 7/26/13 16:15
travel tourism,['connecticut'],ctvisit.com,Travel and Tourism Site for Connecticut -- Note added 6/6/13 19:28
clean water,[],cwmtf.net,Clean Water Management Trust Fund  -- Note added 9/11/15 19:49
il secretary,[],cyberdriveillinois.com,IL Secretary of State -- Note added 7/1/14 20:19
